id date Cat1 Cat2 Cat3 prize1 prize2 prize3
5077 25.04.2018 13 0 57 500 160 85
5076 24.04.2018 9 0 21 500 160 85
5075 23.04.2018 5 0 26 500 160 85
5074 22.04.2018 13 0 37 500 160 85
5073 21.04.2018 7 17 0 500 160 85
5072 20.04.2018 7 0 14 500 160 85
5071 19.04.2018 9 0 20 500 160 85
5070 18.04.2018 8 0 30 500 160 85
5069 17.04.2018 22 0 19 500 160 85
5068 16.04.2018 23 27 0 500 160 85
5067 15.04.2018 8 0 21 500 160 85
5066 14.04.2018 8 0 24 500 160 85
5065 13.04.2018 5 0 62 500 160 85
5064 12.04.2018 25 0 50 500 160 85
5063 11.04.2018 4 0 28 500 160 85
5062 10.04.2018 12 21 0 500 160 85
5061 09.04.2018 4 0 15 500 160 85
5060 08.04.2018 2 0 22 500 160 85
5059 07.04.2018 4 0 18 500 160 85
5058 06.04.2018 33 0 27 500 160 85
5057 05.04.2018 228 0 0 500 160 85
5056 04.04.2018 10 0 60 500 160 85
5055 03.04.2018 9 23 0 500 160 85
5054 02.04.2018 8 0 25 500 160 85
5053 01.04.2018 6 0 52 500 160 85
5052 31.03.2018 7 35 0 500 160 85
5051 30.03.2018 36 44 0 500 160 85
5050 29.03.2018 7 0 25 500 160 85
5049 28.03.2018 9 18 0 500 160 85
5048 27.03.2018 14 0 35 500 160 85
5047 26.03.2018 4 0 40 500 160 85
5046 25.03.2018 196 0 0 500 160 85
5045 24.03.2018 19 0 77 500 160 85
5044 23.03.2018 9 14 0 500 160 85
5043 22.03.2018 58 0 38 500 160 85
5042 21.03.2018 12 15 0 500 160 85
5041 20.03.2018 12 28 0 500 160 85
5040 19.03.2018 15 0 51 500 160 85
5039 18.03.2018 11 0 18 500 160 85
5038 17.03.2018 4 0 23 500 160 85
5037 16.03.2018 7 0 36 500 160 85
5036 15.03.2018 63 0 73 500 160 85
5035 14.03.2018 9 0 43 500 160 85
5034 13.03.2018 15 39 0 500 160 85
5033 12.03.2018 2 0 44 500 160 85
5032 11.03.2018 14 25 0 500 160 85
5031 10.03.2018 12 0 27 500 160 85
5030 09.03.2018 10 0 51 500 160 85
5029 08.03.2018 25 0 47 500 160 85
5028 07.03.2018 16 12 0 500 160 85
