Рік Відгук Фактор1 Фактор2 Фактор3
2001 20,89 3,40 6,69 0,26
2002 20,47 3,78 6,58 -0,02
2003 22,74 4,19 7,25 -0,31
2004 20,19 3,33 5,91 0,05
2005 24,76 4,33 7,89 0,03
2006 21,74 3,90 6,77 0,08
2007 22,65 4,25 7,73 0,25
2008 22,56 4,03 6,82 -0,04
2009 24,07 4,16 7,34 0,27
2010 17,31 2,80 6,59 0,13
2011 23,57 4,88 7,11 0,29
2012 19,30 3,10 6,54 -0,18
2013 21,64 3,90 7,29 0,03
2014 22,46 4,36 6,90 -0,44
2015 23,50 4,40 7,28 -0,13
2016 18,63 2,59 5,92 0,14
2017 21,79 3,97 7,43 0,18
2018 20,18 3,62 6,65 0,19
2019 19,86 2,85 5,54 -0,31
2020 17,10 2,60 6,52 -0,15
2021 17,44 2,87 6,37 0,21
2022 21,48 3,70 6,35 -0,16
2023 23,15 4,65 6,59 0,10
